1.24394 1.912152 1.244316|0.6221253 -0.1102825 -0.7004105 -0.3319988
1.243928 1.911879 1.244542|0.6218177 -0.1105713 -0.7007833 -0.3316919
1.243811 1.909768 1.244708|0.6228896 -0.1096017 -0.700576 -0.3304379
1.243811 1.909768 1.244708|0.6228896 -0.1096017 -0.700576 -0.3304379
1.24376 1.910809 1.244624|0.6220834 -0.1103433 -0.7009388 -0.3309404
1.243702 1.911365 1.244481|0.622119 -0.1103596 -0.7007177 -0.3313358
1.243731 1.911265 1.244236|0.6224132 -0.1100187 -0.7004988 -0.3313591
1.243798 1.910824 1.244333|0.6225287 -0.1098819 -0.7005335 -0.3311144
1.244174 1.91184 1.244306|0.6216584 -0.110495 -0.7009471 -0.3316699
1.244174 1.91184 1.244306|0.6216584 -0.110495 -0.7009471 -0.3316699
1.244223 1.912031 1.24429|0.6215118 -0.1106181 -0.7010185 -0.3317527
1.24406 1.912063 1.244423|0.6215698 -0.1106993 -0.7009498 -0.331762
1.243974 1.912066 1.244476|0.6217032 -0.110652 -0.7008267 -0.3317879
1.244131 1.912071 1.244407|0.6217142 -0.1105468 -0.7008139 -0.3318292
1.244291 1.912102 1.244297|0.6215744 -0.1105551 -0.7009361 -0.3318305
1.244291 1.912102 1.244297|0.6215744 -0.1105551 -0.7009361 -0.3318305
1.244382 1.912075 1.244254|0.6214484 -0.1105891 -0.7010574 -0.3317989
1.244239 1.912066 1.24432|0.6214367 -0.1106879 -0.7010726 -0.331756
1.2441 1.912052 1.244396|0.6215649 -0.110672 -0.7009546 -0.3317702
1.243996 1.912063 1.244459|0.6216909 -0.1106473 -0.7008389 -0.3317864
1.243954 1.912079 1.244477|0.6217538 -0.1106256 -0.7007787 -0.3318036
1.243953 1.912085 1.244477|0.6217653 -0.1106182 -0.7007679 -0.331807
1.243953 1.912085 1.244477|0.6217653 -0.1106182 -0.7007679 -0.331807
1.243967 1.912085 1.244465|0.6217486 -0.1106239 -0.700784 -0.3318023
1.24398 1.912082 1.244462|0.6217266 -0.1106298 -0.7008054 -0.3317962
1.24399 1.912079 1.244457|0.6217147 -0.1106335 -0.7008169 -0.331793
1.243995 1.912078 1.24445|0.6217113 -0.1106351 -0.7008204 -0.3317917
1.243993 1.912078 1.244449|0.6217092 -0.1106364 -0.7008221 -0.3317915
1.243993 1.912078 1.244449|0.6217092 -0.1106364 -0.7008221 -0.3317915
1.243993 1.912079 1.244449|0.6217107 -0.1106353 -0.7008206 -0.3317924
1.243991 1.912079 1.244449|0.6217123 -0.1106351 -0.700819 -0.3317927
1.243991 1.912078 1.244449|0.621714 -0.1106347 -0.7008174 -0.3317929
1.243991 1.912078 1.244449|0.6217151 -0.1106339 -0.7008162 -0.3317938
1.243991 1.912079 1.244449|0.6217161 -0.1106339 -0.7008154 -0.3317936
1.243991 1.912079 1.244449|0.6217161 -0.1106339 -0.7008154 -0.3317936
1.243991 1.912079 1.244449|0.621712 -0.1106365 -0.7008193 -0.3317924
1.243991 1.912079 1.244449|0.6217132 -0.1106333 -0.7008182 -0.3317933
1.243989 1.912079 1.244448|0.6217146 -0.1106337 -0.7008165 -0.331794
1.243989 1.91208 1.244448|0.6217164 -0.1106333 -0.7008153 -0.3317939
1.243988 1.912079 1.244456|0.6217133 -0.1106354 -0.700818 -0.3317928
1.243988 1.912079 1.244456|0.6217133 -0.1106354 -0.700818 -0.3317928
1.243991 1.912079 1.244449|0.6217152 -0.1106342 -0.7008162 -0.3317933
1.243993 1.91208 1.244449|0.6217108 -0.1106359 -0.7008202 -0.3317929
1.243993 1.912079 1.244449|0.621711 -0.1106357 -0.7008205 -0.3317921
1.243993 1.912079 1.244449|0.6217121 -0.1106353 -0.700819 -0.3317933
1.243988 1.912079 1.244456|0.621713 -0.1106352 -0.7008181 -0.3317933
1.243988 1.912079 1.244456|0.621713 -0.1106352 -0.7008181 -0.3317933
1.243988 1.912079 1.244456|0.6217166 -0.1106346 -0.7008148 -0.3317938
